token	corpus size	all contexts size	frequency	co-frequency	specificity
يون	68163	4089	50	50	61.22
يات	68163	4089	50	50	61.22
تي	68163	4089	50	50	61.22
ته	68163	4089	50	50	61.22
دول	68163	4089	134	68	45.90
ة	68163	4089	100	50	33.54
ات	68163	4089	100	50	33.54
ية	68163	4089	100	50	33.54
ال	68163	4089	101	50	33.27
قومية	68163	4089	29	25	26.31
دولة	68163	4089	236	59	20.55
ي	68163	4089	200	50	17.55
أين	68163	4089	35	16	10.46
تصنيفات	68163	4089	16	11	9.94
تقع	68163	4089	35	15	9.36
أيضاً	68163	4089	54	18	8.99
هي	68163	4089	148	30	8.54
القومية	68163	4089	129	26	7.46
تمّ	68163	4089	6	6	7.33
الاسترجاع	68163	4089	6	6	7.33
المماليك	68163	4089	9	7	7.05
ذات	68163	4089	59	15	5.92
مجتمع	68163	4089	12	7	5.79
الدولة	68163	4089	1025	98	5.73
المقالة	68163	4089	26	9	4.96
شبابي	68163	4089	4	4	4.89
متنوّع	68163	4089	4	4	4.89
المشارب	68163	4089	4	4	4.89
والخلفيات	68163	4089	4	4	4.89
سيادية	68163	4089	7	5	4.84
سيادة	68163	4089	41	11	4.75
أخرى	68163	4089	57	13	4.68
مدينة	68163	4089	22	8	4.65
أمة	68163	4089	22	8	4.65
انظر	68163	4089	25	8	4.20
تعتبر	68163	4089	20	7	4.01
سياسية	68163	4089	27	8	3.94
إثنية	68163	4089	10	5	3.84
قد	68163	4089	119	18	3.75
الصفحة	68163	4089	16	6	3.70
ولها	68163	4089	3	3	3.67
الماركسي	68163	4089	3	3	3.67
الرفاه،	68163	4089	3	3	3.67
أقلية	68163	4089	3	3	3.67
إمبراطورية	68163	4089	7	4	3.42
عربية	68163	4089	7	4	3.42
ديمقراطية	68163	4089	7	4	3.42
متعددة	68163	4089	19	6	3.25
مجلوبة	68163	4089	13	5	3.22
مصطلحات	68163	4089	4	3	3.09
