token	corpus size	all contexts size	frequency	co-frequency	specificity
قومية	118481	3230	36	26	32.43
دولة	118481	3230	185	46	29.86
أين	118481	3230	42	16	14.14
الدولة	118481	3230	1010	75	14.00
تقع	118481	3230	44	15	12.47
أيضاً	118481	3230	75	18	11.88
هي	118481	3230	213	26	9.71
المماليك	118481	3230	19	9	9.24
القومية	118481	3230	150	21	9.07
سياسية	118481	3230	47	12	8.48
سيادة	118481	3230	54	12	7.75
أمة	118481	3230	26	8	6.54
سيادية	118481	3230	7	5	6.53
قد	118481	3230	158	18	6.52
جغرافيا	118481	3230	4	4	6.26
تعتبر	118481	3230	23	7	5.76
دول	118481	3230	84	12	5.59
ديمقراطية	118481	3230	10	5	5.48
ذات	118481	3230	119	14	5.40
انظر	118481	3230	36	8	5.37
الدول	118481	3230	195	18	5.23
مدينة	118481	3230	39	8	5.10
علوم	118481	3230	20	6	4.97
الرفاه،	118481	3230	3	3	4.69
كل	118481	3230	158	15	4.62
تصنيفات	118481	3230	34	7	4.55
لا	118481	3230	399	25	4.11
ولها	118481	3230	4	3	4.10
الماركسي	118481	3230	4	3	4.10
المقالة	118481	3230	54	8	4.05
الاتحاد	118481	3230	19	5	3.93
فدرالية	118481	3230	5	3	3.72
التتار	118481	3230	5	3	3.72
تكون	118481	3230	152	13	3.67
الرفاه	118481	3230	12	4	3.66
أخرى	118481	3230	178	14	3.54
لغة	118481	3230	23	5	3.51
نظريات	118481	3230	13	4	3.51
المراحل	118481	3230	6	3	3.43
للسيادة	118481	3230	6	3	3.43
وحدها	118481	3230	6	3	3.43
اتحادية	118481	3230	6	3	3.43
أقلية	118481	3230	6	3	3.43
الفقه	118481	3230	24	5	3.42
شرعية	118481	3230	14	4	3.38
الأموية	118481	3230	15	4	3.26
يشترط	118481	3230	7	3	3.20
للنظام	118481	3230	7	3	3.20
قومية،	118481	3230	7	3	3.20
ظفار	118481	3230	2	2	3.13
