token	corpus size	all contexts size	frequency	co-frequency	specificity
ي	68163	5634	200	160	133.29
الطوارئ	68163	5634	215	145	102.62
يات	68163	5634	50	50	54.22
تي	68163	5634	50	50	54.22
ته	68163	5634	50	50	54.22
تها	68163	5634	50	50	54.22
تنا	68163	5634	50	50	54.22
ك	68163	5634	50	50	54.22
ه	68163	5634	50	50	54.22
ها	68163	5634	50	50	54.22
تهم	68163	5634	54	50	48.87
ال	68163	5634	101	64	43.08
ة	68163	5634	100	62	40.92
ات	68163	5634	100	61	39.67
ية	68163	5634	100	59	37.22
كن	68163	5634	100	58	36.02
نا	68163	5634	100	57	34.84
كم	68163	5634	101	57	34.52
حال	68163	5634	136	54	23.09
حالة	68163	5634	328	85	21.07
المادة	68163	5634	84	34	15.15
إعلان	68163	5634	41	23	14.29
طوارئ	68163	5634	25	15	10.11
قانون	68163	5634	60	23	9.93
دالة	68163	5634	9	9	9.75
الجمهورية	68163	5634	30	14	7.60
الطقس	68163	5634	8	7	6.71
بإعلان	68163	5634	6	6	6.50
استثنائية	68163	5634	15	9	6.27
أعلنت	68163	5634	9	7	6.10
غداً	68163	5634	5	5	5.41
رقم	68163	5634	27	11	5.40
اجتماعية	68163	5634	18	9	5.40
تعلن	68163	5634	8	6	5.13
النظام	68163	5634	46	14	4.98
١٣	68163	5634	6	5	4.67
تهدد	68163	5634	13	7	4.57
الطوارئ،	68163	5634	13	7	4.57
اكثر	68163	5634	4	4	4.33
المشار	68163	5634	10	6	4.32
المتوقعة	68163	5634	7	5	4.17
صلاحيات	68163	5634	11	6	4.02
السورية	68163	5634	16	7	3.86
مجلس	68163	5634	32	10	3.84
يوم	68163	5634	12	6	3.76
أثناء	68163	5634	27	9	3.75
اليمن	68163	5634	22	8	3.68
لرئيس	68163	5634	5	4	3.67
ودرجات	68163	5634	5	4	3.67
الأوضاع	68163	5634	5	4	3.67
