token	corpus size	all contexts size	frequency	co-frequency	specificity
الطوارئ	118481	4599	234	143	137.58
حالة	118481	4599	269	76	42.48
إعلان	118481	4599	52	24	19.74
المادة	118481	4599	112	33	19.55
طوارئ	118481	4599	27	15	14.14
قانون	118481	4599	81	23	13.49
الجمهورية	118481	4599	44	14	9.22
دالة	118481	4599	9	7	8.36
أعلنت	118481	4599	9	7	8.36
رقم	118481	4599	38	12	7.95
استثنائية	118481	4599	15	8	7.60
النظام	118481	4599	62	14	7.12
حالات	118481	4599	82	16	7.10
بإعلان	118481	4599	8	6	7.05
مرسوم	118481	4599	13	7	6.75
الطقس	118481	4599	9	6	6.59
الطوارئ،	118481	4599	14	7	6.46
تعلن	118481	4599	10	6	6.21
تهدد	118481	4599	15	7	6.21
المشار	118481	4599	11	6	5.89
غداً	118481	4599	7	5	5.77
١٣	118481	4599	7	5	5.77
اكثر	118481	4599	4	4	5.64
لرئيس	118481	4599	5	4	4.96
توضيح	118481	4599	15	6	4.92
مجلس	118481	4599	49	10	4.87
العهد	118481	4599	31	8	4.79
السورية	118481	4599	24	7	4.63
وفي	118481	4599	140	17	4.61
أثناء	118481	4599	33	8	4.58
عدل	118481	4599	187	20	4.50
تسمم	118481	4599	6	4	4.50
اليمن	118481	4599	26	7	4.39
صلاحيات	118481	4599	12	5	4.28
تجاة	118481	4599	3	3	4.23
العراق،سوريا	118481	4599	3	3	4.23
ولبنان	118481	4599	3	3	4.23
الطوارئ؛	118481	4599	3	3	4.23
تُعلن	118481	4599	3	3	4.23
بالحريات	118481	4599	3	3	4.23
تستبدل	118481	4599	3	3	4.23
صلبة	118481	4599	7	4	4.15
ودراسات	118481	4599	7	4	4.15
المتوقعة	118481	4599	7	4	4.15
الأوضاع	118481	4599	7	4	4.15
إنهاء	118481	4599	7	4	4.15
مقالة	118481	4599	29	7	4.06
اجتماعية	118481	4599	39	8	4.03
الدستور	118481	4599	39	8	4.03
بموجب	118481	4599	41	8	3.88
